date,AB,BC,CV,HD,POW,SB,CTM
2014-11-02,160,230,130,121,31,99,117
2014-11-03,185,205,146,105,38,128,128
2014-11-04,170,268,110,122,46,134,151
2014-11-05,173,224,138,142,40,131,126
2014-11-06,167,235,135,109,31,112,131
2014-11-07,192,258,135,116,51,128,148
2014-11-08,174,238,124,132,40,110,139
2014-11-09,159,243,157,129,49,119,141
2014-11-10,177,280,149,118,40,127,142
2014-11-11,166,268,138,126,44,144,153
2014-11-12,171,246,146,124,45,115,156
2014-11-13,188,236,156,115,41,145,169
2014-11-14,187,281,153,124,31,133,165
2014-11-15,163,235,143,115,34,132,114
2014-11-16,138,235,126,139,28,105,104
2014-11-17,181,194,137,112,31,123,119
2014-11-18,189,254,141,128,40,131,144
2014-11-19,207,254,152,137,40,127,145
2014-11-20,209,277,143,132,27,117,137
2014-11-21,203,280,146,148,39,125,175
2014-11-22,166,238,115,110,37,103,120
2014-11-23,232,287,165,134,38,128,133
2014-11-24,174,290,136,137,37,131,145
2014-11-25,184,227,165,139,40,144,123
2014-11-26,196,264,175,117,43,131,129
2014-11-27,195,286,147,133,49,120,165
2014-11-28,183,266,138,133,38,123,137
2014-11-29,178,232,126,116,28,133,130
2014-11-30,184,233,137,116,31,126,144
2014-12-01,179,258,138,121,37,138,119
2014-12-02,190,235,151,118,54,127,146
2014-12-03,184,249,145,143,44,128,162
2014-12-04,189,291,160,133,34,144,128
2014-12-05,190,274,140,156,52,138,165
2014-12-06,178,280,142,153,40,144,145
2014-12-07,151,227,151,131,52,134,161
2014-12-08,185,286,147,150,38,131,141
2014-12-09,189,251,156,133,33,139,147
2014-12-10,161,255,129,150,43,133,151
2014-12-11,192,282,141,123,37,121,140
2014-12-12,215,263,137,153,38,141,147
2014-12-13,179,271,118,115,46,132,158
2014-12-14,157,226,131,96,38,125,141
2014-12-15,188,240,151,120,29,119,140
2014-12-16,173,240,140,115,46,130,151
2014-12-17,188,242,153,121,34,121,142
2014-12-18,194,307,132,126,45,137,128
2014-12-19,190,241,141,129,39,154,147
2014-12-20,201,220,148,123,39,114,137
2014-12-21,167,277,138,117,62,133,139
2014-12-22,176,268,137,107,51,126,134
2014-12-23,205,265,147,116,46,143,159
