date,AB,BC,CTM,CV,HD,POW,SB
2015-07-25,254,343,164,180,148,63,153
2015-07-26,223,310,144,189,135,68,119
2015-07-27,193,303,179,144,154,40,130
2015-07-28,213,352,165,203,142,41,165
2015-07-29,241,318,169,193,148,60,157
2015-07-30,232,328,177,184,173,67,142
2015-07-31,265,343,165,202,155,49,146
2015-08-01,240,333,178,202,150,45,119
2015-08-02,220,333,168,186,167,44,150
2015-08-03,248,302,152,166,157,44,134
2015-08-04,210,311,164,167,150,56,149
2015-08-05,207,336,166,201,166,46,163
2015-08-06,216,336,168,164,170,46,163
2015-08-07,249,354,147,160,136,72,153
2015-08-08,210,329,149,190,136,57,136
2015-08-09,208,302,137,154,152,40,130
2015-08-10,222,351,165,164,159,50,176
2015-08-11,214,303,171,172,127,43,162
2015-08-12,237,331,165,182,197,43,151
2015-08-13,230,331,152,199,157,75,170
2015-08-14,229,348,165,189,135,53,173
2015-08-15,208,335,176,158,164,34,151
2015-08-16,201,284,159,198,136,53,159
2015-08-17,232,305,174,179,135,58,144
2015-08-18,213,323,176,205,136,44,143
2015-08-19,229,334,150,196,160,55,181
2015-08-20,230,310,191,177,159,54,157
2015-08-21,262,339,162,181,180,53,157
2015-08-22,264,300,160,181,191,65,146
2015-08-23,229,348,177,190,166,51,143
2015-08-24,226,288,157,172,147,49,183
2015-08-25,206,339,184,198,160,55,158
2015-08-26,218,328,182,217,166,49,200
2015-08-27,206,328,193,196,155,61,170
2015-08-28,234,377,175,188,142,54,160
2015-08-29,241,368,187,164,164,63,171
2015-08-30,224,292,176,147,132,48,169
2015-08-31,177,299,168,189,139,34,166
2015-09-01,227,347,174,171,131,59,120
2015-09-02,209,348,181,201,170,39,147
2015-09-03,173,294,167,189,114,50,145
2015-09-04,192,304,163,186,146,54,148
2015-09-05,223,298,141,185,123,50,152
2015-09-06,220,344,162,171,133,35,178
2015-09-07,227,316,168,198,133,50,133
2015-09-08,206,310,157,207,175,49,149
2015-09-09,245,336,156,188,158,47,165
2015-09-10,207,357,181,187,155,50,143
2015-09-11,241,336,165,157,173,52,143
2015-09-12,235,269,151,197,154,62,140
2015-09-13,202,301,175,182,149,55,138
2015-09-14,212,324,144,170,171,68,141
2015-09-15,240,372,160,187,172,55,132
2015-09-16,210,326,192,182,136,47,170
2015-09-17,236,337,195,209,150,46,162
2015-09-18,250,353,186,184,127,67,160
2015-09-19,232,332,178,210,159,51,171
2015-09-20,224,333,171,188,159,65,124
2015-09-21,209,305,197,182,149,56,161
2015-09-22,261,303,199,197,160,82,168
2015-09-23,266,318,187,206,158,51,202
2015-09-24,230,380,189,203,150,72,195
2015-09-25,253,320,210,200,162,55,158
2015-09-26,232,406,202,202,151,53,192
2015-09-27,244,315,176,183,169,51,166
2015-09-28,258,313,179,184,139,63,199
2015-09-29,224,380,163,194,141,69,161
2015-09-30,220,330,167,242,157,55,195
2015-10-01,203,253,156,214,171,44,172
2015-10-02,217,301,169,199,150,28,155
2015-10-03,197,316,182,203,155,46,138
2015-10-04,214,363,148,180,157,42,160
2015-10-05,257,306,153,177,167,59,160
2015-10-06,214,338,171,207,143,68,158
2015-10-07,216,303,133,188,133,57,137
2015-10-08,274,293,172,198,148,50,153
2015-10-09,217,304,160,208,158,48,142
2015-10-10,214,346,167,199,140,37,163
2015-10-11,224,301,165,212,153,44,182
2015-10-12,206,275,170,189,167,43,156
2015-10-13,231,252,151,175,154,50,163
2015-10-14,215,287,168,181,141,32,136
2015-10-15,233,312,165,181,133,42,159
2015-10-16,208,314,159,170,148,60,133
2015-10-17,238,323,191,216,127,60,146
2015-10-18,235,343,155,246,140,46,152
2015-10-19,255,324,176,177,156,56,150
2015-10-20,244,294,161,177,121,42,125
2015-10-21,200,316,138,173,137,51,153
2015-10-22,230,274,146,194,127,40,157
2015-10-23,191,330,152,182,162,60,156
2015-10-24,195,338,190,204,154,42,148
